48# Number of electrodes
# x z
0.000     0.000
1.000     0.000
2.000     0.000
3.000     0.000
4.000     0.000
5.000     0.000
6.000     0.000
7.000     0.000
8.000     0.000
9.000     0.000
10.000     0.000
11.000     0.000
12.000     0.000
13.000     0.000
14.000     0.000
15.000     0.000
16.000     0.000
17.000     0.000
18.000     0.000
19.000     0.000
20.000     0.000
21.000     0.000
22.000     0.000
23.000     0.000
24.000     0.000
25.000     0.000
26.000     0.000
27.000     0.000
28.000     0.000
29.000     0.000
30.000     0.000
31.000     0.000
32.000     0.000
33.000     0.000
34.000     0.000
35.000     0.000
36.000     0.000
37.000     0.000
38.000     0.000
39.000     0.000
40.000     0.000
41.000     0.000
42.000     0.000
43.000     0.000
44.000     0.000
45.000     0.000
46.000     0.000
47.000     0.000
909# Number of data
# a    b    m    n    rhoa
     1	     4	     2	     3	         394.80
     2	     5	     3	     4	         449.25
     3	     6	     4	     5	         491.30
     4	     7	     5	     6	         569.96
     5	     8	     6	     7	         492.41
     6	     9	     7	     8	         613.26
     7	    10	     8	     9	         908.51
     8	    11	     9	    10	        1302.02
     9	    12	    10	    11	        1256.92
    10	    13	    11	    12	        1626.73
    11	    14	    12	    13	        1411.92
    12	    15	    13	    14	        1465.81
    13	    16	    14	    15	        1528.59
    14	    17	    15	    16	        1514.61
    15	    18	    16	    17	        1566.66
    16	    19	    17	    18	        1403.04
    17	    20	    18	    19	        1249.74
    18	    21	    19	    20	        1083.05
    19	    22	    20	    21	         911.30
    20	    23	    21	    22	         792.14
    21	    24	    22	    23	         631.59
    22	    25	    23	    24	         658.48
    23	    26	    24	    25	         713.11
    24	    27	    25	    26	         779.77
    25	    28	    26	    27	         942.16
    26	    29	    27	    28	        1046.53
    27	    30	    28	    29	         974.73
    28	    31	    29	    30	        1087.70
    29	    32	    30	    31	        1048.75
    30	    33	    31	    32	         906.65
    31	    34	    32	    33	         988.52
    32	    35	    33	    34	         742.63
    33	    36	    34	    35	         649.68
    34	    37	    35	    36	         582.08
    35	    38	    36	    37	         473.46
    36	    39	    37	    38	         519.96
    37	    40	    38	    39	         390.47
    38	    41	    39	    40	         541.35
    39	    42	    40	    41	         472.29
    40	    43	    41	    42	         564.97
    41	    44	    42	    43	         668.64
    42	    45	    43	    44	         790.78
    43	    46	    44	    45	         843.26
    44	    47	    45	    46	        1242.19
    45	    48	    46	    47	        1352.36
     1	     7	     3	     5	         434.02
     2	     8	     4	     6	         604.61
     3	     9	     5	     7	         578.51
     4	    10	     6	     8	         545.47
     5	    11	     7	     9	         797.12
     6	    12	     8	    10	        1126.86
     7	    13	     9	    11	        1132.21
     8	    14	    10	    12	        1155.58
     9	    15	    11	    13	        1342.87
    10	    16	    12	    14	        1426.12
    11	    17	    13	    15	        1401.29
    12	    18	    14	    16	        1437.55
    13	    19	    15	    17	        1507.13
    14	    20	    16	    18	        1440.73
    15	    21	    17	    19	        1331.17
    16	    22	    18	    20	        1195.49
    17	    23	    19	    21	        1129.67
    18	    24	    20	    22	        1032.33
    19	    25	    21	    23	         896.01
    20	    26	    22	    24	         817.66
    21	    27	    23	    25	         825.52
    22	    28	    24	    26	         806.26
    23	    29	    25	    27	         877.36
    24	    30	    26	    28	         947.95
    25	    31	    27	    29	         901.51
    26	    32	    28	    30	         879.75
    27	    33	    29	    31	         892.01
    28	    34	    30	    32	         829.05
    29	    35	    31	    33	         785.23
    30	    36	    32	    34	         739.87
    31	    37	    33	    35	         646.13
    32	    38	    34	    36	         546.99
    33	    39	    35	    37	         518.07
    34	    40	    36	    38	         472.10
